Ground_Point_X,Ground_Point_Y,Ground_Point_Z,Image_Point_Left_X,Image_Point_Left_Y,Image_Point_Right_X,Image_Point_Right_Y,Tag
308521.393,3559580.717,802.67,3359.969,2989.906,2663.688,3119.812,1
284842.09,3573512.765,983.886,1222.938,2209.312,453.812,2129.312,1
278827.309,3542527.668,581.694,1476.688,5353.938,558.562,5290.812,1
318557.222,3586412.924,947.374,3504.375,147.625,2982.875,301.875,1
330396.088,3528072.0,588.016,5698.188,5514.562,5124.188,5877.938,1
330655.973,3581771.613,733.773,4510.031,305.906,4096.062,563.812,1
304282.873,3580657.48,1146.81,2561.938,1046.812,1902.094,1102.968,1
343609.724,3562722.672,693.462,5892.312,1839.062,5570.938,2235.938,0
320078.852,3536069.247,619.041,4757.562,4987.938,4089.938,5254.188,0
281939.164,3535428.616,545.678,1882.688,5966.688,943.062,5942.938,1
320642.03,3549540.019,621.655,4494.688,3669.938,3878.375,3912.375,0
321472.623,3574649.316,786.328,3989.188,1217.062,3458.188,1418.938,0
330953.251,3560795.036,644.993,5004.062,2330.188,4530.062,2631.938,0
331339.857,3573072.602,706.789,4757.062,1131.938,4323.188,1412.938,0
300898.573,3556808.882,790.094,2846.125,3440.875,2087.188,3517.812,0
309209.712,3554568.949,743.286,3526.812,3457.938,2819.625,3602.625,0
328306.173,3556303.705,638.285,4909.375,2830.125,4392.875,3119.375,1
308291.044,3542207.92,595.251,3734.938,4677.188,2983.125,4840.625,1
292932.052,3536210.764,533.725,2707.938,5627.062,1828.312,5685.312,0
282105.422,3546932.444,603.672,1625.938,4848.688,740.688,4800.938,0
295847.972,3566355.654,935.329,2240.812,2636.938,1485.688,2656.062,1
300718.642,3576511.728,1097.802,2384.625,1535.625,1689.188,1571.812,0
309264.637,3581877.382,1086.51,2911.938,810.812,2292.156,902.094,0
336860.633,3557544.026,635.801,5510.438,2503.812,5094.438,2858.188,0
292427.611,3547370.257,667.611,2414.562,4557.812,1573.375,4587.625,1
313494.057,3552650.302,708.69,3892.625,3540.875,3215.688,3722.062,1
325199.77,3568258.44,739.703,4411.812,1745.812,3896.125,1988.875,0
322933.985,3563069.526,700.018,4359.562,2304.062,3807.062,2538.938,1
282525.76,3569953.008,919.506,1125.375,2609.375,335.375,2516.875,1
338760.085,3569252.346,712.881,5391.562,1323.062,5026.938,1668.062,0
334900.594,3545339.806,619.651,5640.938,3733.938,5168.062,4094.812,1
297503.148,3573734.627,1052.75,2200.312,1882.938,1478.062,1899.812,1
345722.499,3571481.249,759.105,5853.844,939.969,5576.938,1336.812,1
304882.435,3532510.999,528.112,3699.062,5698.062,2888.062,5856.812,0
284522.615,3563317.877,829.51,1433.938,3204.062,623.938,3140.062,0
